lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
8399,11526,12376,5660,1884,2506,14125,4930,40,40
34168,17100,13505,21903,17340,7408,870920,34892,78,60
20223,19182,12396,17008,12650,20315,525943,99640,47,54
27405,5798,11260,14169,7758,1568,867117,91467,16,35
31578,9258,6861,4228,5599,2027,383728,102426,29,26
151435,144350,32433,131384,147843,38111,842511,587947,56,34
151435,144350,32433,131384,147843,38111,842511,587947,56,34
196517,23690,9354,13502,18271,4726,468939,230583,47,14
4209,11499,17017,10087,22873,3795,16119,32081,54,44
4209,11499,17017,10087,22873,3795,16119,32081,54,44
37989,10920,17451,17588,14550,14667,2020275,45536,41,56
37989,10920,17451,17588,14550,14667,2020275,45536,41,56
18904,12542,19222,7325,8977,2470,1822542,62361,38,43
6074,2724,5606,11278,13003,17351,45303,45656,40,41
14924,5226,6141,6132,14972,6042,20637,13507,41,56
14924,5226,6141,6132,14972,6042,20637,13507,41,56
8554,8114,10211,9291,8345,3391,12068,17061,74,66
8778,36452,41881,15917,8575,6590,1076165,48274,44,44
1180,5127,10782,2357,2702,3447,897,17303,43,37
5202,7259,6268,4122,4422,3893,18034,5314,51,53
8047,6385,4799,5177,4531,2185,36231,14666,57,66
1514,1560,6258,7219,8405,9642,7505,7376,23,70
5547,9152,1396,1013,728,457,138473,140723,14,41
17240,10756,10647,10336,4301,2649,89769,21898,48,29
1812,4841,7305,14656,5406,2328,62624,9931,47,69
1812,4841,7305,14656,5406,2328,62624,9931,47,69
11409,6297,10713,23099,12464,5767,10210,5007,48,100
9502,17586,30555,10281,5564,3318,7487,16901,29,81
9502,17586,30555,10281,5564,3318,7487,16901,29,81
8438,814,12530,10212,10724,3211,20223,8097,53,64
6506,4589,5539,2193,2217,442,175163,93131,44,57
11379,10832,11662,13767,3511,5497,44940,18672,47,57
11379,10832,11662,13767,3511,5497,44940,18672,47,57
18417,12049,13712,32642,14590,13224,36943,57424,35,56
18417,12049,13712,32642,14590,13224,36943,57424,35,56
8072,4217,9887,8266,16454,10158,11162,19865,41,100
13592,8879,4381,20600,20148,9997,43794,12740,40,100
2606,6173,18411,12191,19525,9688,10654,8279,51,100
2428,18114,5185,6562,14150,1997,4305,7019,56,100
2428,18114,5185,6562,14150,1997,4305,7019,56,100
4258,3495,841,4889,1241,1285,364807,23222,64,70
39736,81358,13380,29505,31399,30372,825632,265080,63,60
5221,13184,4368,11639,5143,1861,23040,28273,43,54
5562,6788,12648,7940,3547,1976,15140,4664,35,70
28017,51699,16864,16375,14789,5525,251207,182039,75,74
2217,3298,5619,6516,6241,18781,10750,3515,67,74
2217,3298,5619,6516,6241,18781,10750,3515,67,74
28968,3254,4603,32094,44292,27037,658705,53078,34,70
921,9934,7342,13757,7095,4496,24336,23523,47,83
3191,7078,8218,4609,3100,1373,5533,5582,60,69
3191,7078,8218,4609,3100,1373,5533,5582,60,69
3759,26816,5674,15230,3603,6013,15216,9201,75,67
7667,11062,2130,7279,7216,10405,16050,6145,75,69
7007,7935,3500,8281,3912,2832,32593,3280,64,78
18138,3143,8337,9299,5369,3122,5087,9110,69,75
9732,4104,5285,13423,9215,3966,427300,92099,60,80
3962,5573,4861,5075,7634,1680,537336,36448,35,56
3962,5573,4861,5075,7634,1680,537336,36448,35,56
3962,5573,4861,5075,7634,1680,537336,36448,35,56
3962,5573,4861,5075,7634,1680,537336,36448,35,56
7510,11643,9303,11786,6835,2351,41991,9181,69,75
4250,220,1763,1279,587,281,176022,28021,40,54
11738,4462,6021,8035,4297,3647,11821,12348,47,44
11738,4462,6021,8035,4297,3647,11821,12348,47,44
1280,2749,1508,2607,6305,2013,128252,38720,27,47
15563,4081,2539,3158,4398,2959,179979,41897,24,37
10529,17092,9078,4966,10478,5619,583002,133201,35,14
9695,5714,11746,10012,17190,24119,269111,96866,34,24
9695,5714,11746,10012,17190,24119,269111,96866,34,24
19165,85749,29304,16896,34484,9247,1502796,234855,51,27
5036,46639,18524,13270,6220,5255,1295157,135510,54,24
31339,49541,61948,18682,37822,30997,2651704,429958,20,26
31339,49541,61948,18682,37822,30997,2651704,429958,20,26
31657,25910,40010,14928,11100,11719,1317643,106987,20,24
31657,25910,40010,14928,11100,11719,1317643,106987,20,24
4335,2372,4341,3831,4722,3672,195956,48264,43,38
2901,25648,6618,14113,8075,6733,1098009,89028,38,44
5657,4583,34233,9798,21738,15329,434296,77627,21,37
7508,9032,4868,1851,1697,394,278028,15396,47,37
30931,30718,52277,28110,21459,5806,217724,119889,69,38
69659,61564,27750,18288,19005,2025,2182787,125724,61,34
13200,18842,9731,15733,18022,7796,126224,57628,64,35
13200,18842,9731,15733,18022,7796,126224,57628,64,35
13200,18842,9731,15733,18022,7796,126224,57628,64,35
13200,18842,9731,15733,18022,7796,126224,57628,64,35
578466,116933,27989,127956,82759,72186,1690382,325827,67,50
12617,4927,6418,9068,8878,8211,15940,5393,81,69
11209,29279,26929,5822,4171,1748,355465,23678,75,66
1325,11835,18883,5016,2367,811,77271,10943,78,56
1325,11835,18883,5016,2367,811,77271,10943,78,56
810,3026,5396,2507,1778,647,779465,9028,43,74
810,3026,5396,2507,1778,647,779465,9028,43,74
31904,19077,26911,17370,21372,3803,424512,86690,70,54
10228,4097,6631,13124,4577,5924,249804,41408,67,66
10096,10329,24948,15249,9627,5296,145955,136403,43,61
7418,11661,16232,4876,5233,2298,25932,31971,51,54
9480,975,10010,3640,2089,1566,23714,16481,74,61
24379,12017,17988,16049,7752,4403,32013,19471,74,75
40302,43777,25977,42463,22287,5656,1027622,280275,48,60
89236,26452,37960,42207,12756,7644,214985,171224,44,54
23703,11293,11812,4259,5562,3083,315927,13621,61,56
41458,56100,12639,18316,11772,8318,1847165,85798,66,53
6504,1481,6454,8277,5621,1376,98908,24298,67,61
7523,7193,5923,7403,3331,2378,554089,163303,34,48
7523,7193,5923,7403,3331,2378,554089,163303,34,48
4322,6492,9364,15512,26569,7995,7752,18153,48,74
8061,18726,5088,16249,9447,4921,7084,4241,67,90
74146,29341,47212,81817,12274,17196,720671,339815,69,83
2596,3688,5300,1711,1357,431,274111,46493,48,43
9915,5147,3057,4280,8704,5082,48883,18940,61,35
9915,5147,3057,4280,8704,5082,48883,18940,61,35
11615,28901,24406,22308,17516,9058,804961,745628,20,40
21609,8497,15237,11843,11223,2795,30538,44379,43,51
6244,34730,6011,6297,6765,5578,57264,2722,90,69
6244,34730,6011,6297,6765,5578,57264,2722,90,69
10863,3095,10792,3489,1985,1125,14422,11894,88,61
9321,27065,10706,5308,8696,3788,22167,19897,63,37
12228,7193,2228,3257,791,632,411391,5594,75,35
31453,9937,10109,4864,3995,2649,1255980,106766,56,47
25267,18803,18080,10391,18918,1668,160896,128200,38,41
6985,20203,27555,11184,2246,2300,256174,16120,44,51
6985,20203,27555,11184,2246,2300,256174,16120,44,51
2401,9129,12128,8606,6599,5987,11530,16018,51,57
8009,14850,3301,7955,15299,5724,21970,15446,66,66
1667,12640,6754,8882,7557,2175,18835,13506,63,67
8963,24936,17827,6732,8419,1765,71854,18844,64,74
12982,10034,15775,14829,19263,11529,213752,117323,47,61
61358,79069,45095,21489,17690,6853,1689086,58610,56,50
61745,63015,133401,55974,32665,20757,1186198,495064,66,44
47442,59215,22725,24538,35700,16026,1728561,189985,37,30
95659,16099,15424,5813,7467,6731,541826,200705,56,23
95659,16099,15424,5813,7467,6731,541826,200705,56,23
3033,4703,4659,4358,10204,2187,69877,26749,54,24
39525,27586,26824,13145,16983,10139,2845077,186540,63,38
35893,53533,17131,27173,57959,8746,1079416,352168,48,27
35893,53533,17131,27173,57959,8746,1079416,352168,48,27
35893,53533,17131,27173,57959,8746,1079416,352168,48,27
35893,53533,17131,27173,57959,8746,1079416,352168,48,27
35893,53533,17131,27173,57959,8746,1079416,352168,48,27
7005,76283,53997,45357,30308,21465,1311148,211985,70,48
11837,16398,16897,6942,37557,8020,325470,173790,38,37
27480,35093,14969,10652,15207,5191,894455,35597,38,30
27480,35093,14969,10652,15207,5191,894455,35597,38,30
516833,372621,69244,84768,86121,62553,1835743,964391,66,41
87832,19850,19943,14887,4751,6796,826244,75585,81,41
