Delta,Theta,Alpha,Beta,Gamma,Attention
2.59378933699,1.79005607994,0.418226268867,0.185873679894,0.113625918427,1
2.82213954275,2.24432640123,0.31031588273,0.14900862209,0.108063342953,1
2.79241807573,1.97203383882,0.252788735547,0.130222142839,0.0908236004331,1
2.80685823679,1.56817614487,0.252059893078,0.129010094108,0.0696990973005,1
2.87843683676,1.3030841982,0.249201874854,0.116491710855,0.0451688012416,1
3.19602640674,1.30119611625,0.254486546353,0.108325623899,0.0317204214826,1
3.67643357185,1.37021302068,0.269677246128,0.11387228342,0.0291787489142,1
4.23736069042,1.41965404243,0.296151457161,0.142430597652,0.0378533236922,1
4.11651707897,1.19449037875,0.304123584837,0.187513017781,0.0587019161107,1
3.88583759126,0.983283878766,0.379782857405,0.318773584945,0.125105623508,1
3.78808347289,1.17033239145,0.66872442447,0.706153784008,0.342414760187,1
3.29062074922,2.02753680221,1.10766412733,1.34378543551,0.752495424638,1
1.85236692226,2.13307576692,0.820168735629,1.19909107913,0.678897410768,1
1.62284424398,2.34349562358,0.755718611998,1.12100258754,0.564151531798,1
2.38089979931,2.67186002367,1.00127677714,1.21018679003,0.52570522456,1
2.43602708754,2.29657548255,1.131488602,1.05328970926,0.416699337384,1
2.47270826855,2.30120097094,1.46776088962,1.15198190408,0.43903166817,1
2.59556553027,2.60179409061,2.13122441839,1.6275031091,0.619036612042,1
2.52434941969,2.88936370853,3.03807753855,2.68116055107,1.05238743125,1
2.25429215479,2.46247411961,3.52238847505,4.27708388615,1.78340125362,1
2.22268007339,1.92872632909,3.21783625631,6.05672841301,2.6902484408,1
2.14286965717,2.36495489618,1.91616363128,5.99815356775,2.67790842134,1
1.00263849959,2.06428104337,0.778065222296,2.61679199712,0.983503150635,1
1.03276435591,2.47720637043,0.759302136971,2.04704911258,0.548172157115,1
1.73519988337,3.14482569954,0.877979211188,1.92187085096,0.414110630437,1
2.87133973501,3.58926061906,0.812862723883,1.58808066028,0.383064817621,1
3.09672488307,2.92432241869,0.542181211331,1.04966664549,0.308849564612,1
3.07510313632,2.3488049029,0.377787689867,0.792278565982,0.266029005503,1
3.0287667088,1.89001998047,0.284386439506,0.689997413793,0.246172546558,1
3.07002878737,1.50985426742,0.240320174282,0.691359069723,0.254004098052,1
3.59711725955,1.29021623076,0.297708751312,0.934405253641,0.35124602629,1
3.10568394667,0.994373435038,0.474816784269,1.24474124916,0.46480216807,1
2.83337743816,2.34700231873,1.01959751925,2.24129474637,0.752261300756,1
