lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
74251,21428,38014,24440,22197,22922,118380,122511,200,0,0
251760,50035,87250,108717,56246,52126,1091452,387267,200,0,0
234789,141512,89816,137261,56897,45592,784793,526417,200,0,0
75889,106651,97622,120643,91384,111797,410288,888537,200,0,0
75889,106651,97622,120643,91384,111797,410288,888537,200,0,0
170956,238263,457562,78008,149040,45503,910767,273894,200,0,0
783359,93310,423043,126798,64503,27652,204154,206014,200,0,0
73944,150748,170941,142694,102915,93887,875950,501673,200,0,0
109947,141738,220478,156469,134227,194554,661654,192080,200,0,0
160632,95737,135784,102091,128751,107280,142220,794135,200,0,0
232002,67735,237012,99145,72367,52119,380083,332622,200,0,0
100998,50305,130765,121231,136196,79639,363153,255697,200,0,0
252743,81816,289776,120327,178341,33374,758449,130912,200,0,0
491813,105563,203993,115179,124168,111615,810417,189760,200,0,0
491813,105563,203993,115179,124168,111615,810417,189760,200,0,0
36333,70544,149161,150585,76453,102354,510123,348137,200,0,0
417025,291226,119772,103384,96503,48388,224859,854374,200,0,0
141003,194535,83267,160468,117640,102548,1013259,445063,200,0,0
286145,96020,214009,84839,136372,107079,609869,308341,200,0,0
791696,196297,120311,190090,95257,104767,333358,567658,200,0,0
48461,40986,290596,158073,84986,81708,570521,522289,200,0,0
158167,184847,301920,129970,61536,163520,424880,187113,200,0,0
448093,118091,394762,55358,113677,93771,537210,142313,200,0,0
88709,92140,152264,213387,71880,128058,628124,342365,200,0,0
88709,92140,152264,213387,71880,128058,628124,342365,200,0,0
25631,217745,96168,166696,100997,103786,1156364,311490,200,0,0
206038,170764,223584,59624,135313,29977,1133974,453886,200,0,0
72327,211802,196933,99963,59531,69044,460713,748039,200,0,0
745648,98933,191116,41064,70363,143764,477467,411162,200,0,0
56113,43889,37909,21314,10122,16023,132116,35453,200,0,0
143583,104684,197029,190598,78220,42478,453535,465637,200,0,0
157696,135580,289410,86412,165854,133726,411739,388024,200,0,0
233029,236406,295303,95728,81023,72678,1091018,241025,200,0,0
204383,54741,178847,209321,94131,101069,1187180,207421,200,0,0
75120,179793,176468,69733,67513,90808,517681,602592,200,0,0
45882,27362,13558,16065,25018,32176,53402,121177,200,0,0
364589,68059,94641,105581,76800,153249,411324,759414,200,0,0
182582,122174,164334,173701,141441,60563,252272,901545,200,0,0
281632,160709,332140,184121,97800,150929,361067,466091,200,0,0
105620,84714,205138,78434,57578,51859,541791,423390,200,0,0
259142,210266,257287,195838,78438,75253,540008,355102,200,0,0
158394,55056,263177,61358,173322,140392,396145,320416,200,0,0
171482,99838,170052,204096,56491,207342,343789,398578,200,0,0
80093,27767,218697,85287,52715,87382,508382,196871,200,0,0
727519,207975,248218,144691,54252,72424,686597,474510,200,0,0
207910,77526,109308,139332,156131,107658,1117832,698607,200,0,0
155501,36597,173450,83783,79967,57438,359131,430616,200,0,0
81952,47959,439623,121514,101761,109173,337587,776406,200,0,0
44501,372736,190173,79542,61811,64900,449910,529353,200,0,0
399057,76716,158830,189220,114364,29775,762988,391792,200,0,0
59159,127467,233262,112922,102401,134132,215977,481676,200,0,0
36847,18487,17015,34653,37438,48209,162957,207341,200,0,0
175246,50554,76099,130852,79053,61457,1835441,260699,200,0,0
175246,50554,76099,130852,79053,61457,1835441,260699,200,0,0
24041,197960,173801,109817,138752,167042,727645,262170,200,0,0
83719,118819,176488,95040,81042,37544,1107171,252529,200,0,0
169385,159285,171651,56462,190574,149793,370231,302576,200,0,0
390965,200536,226892,155809,95484,52145,763968,1191411,200,0,0
492858,64954,236388,165156,155638,103843,1005655,271817,200,0,0
475827,157624,158663,156360,205100,106265,166230,138803,200,0,0
311914,260559,233063,110265,32893,90972,495710,369962,200,0,0
151692,184586,157397,82356,233125,106063,598893,242212,200,0,0
