lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
132219,78238,76762,65292,100963,40458,627294,809796,200,0,0
322895,231087,264860,159065,57333,63427,623381,552690,200,0,0
31716,513665,284346,200541,127232,95290,349995,423999,200,0,0
213840,50345,225040,144439,86419,97394,819385,625379,200,0,0
302783,143788,416712,128446,68780,191872,418148,565415,200,0,0
199939,77426,136689,94924,108844,171039,277893,1114040,200,0,0
158598,191488,423018,269687,179440,88825,534380,267971,200,0,0
55957,30760,25719,22136,17599,13452,93237,118957,200,0,0
44831,98509,316928,116811,90985,243423,657637,234289,200,0,0
204252,139365,921546,114551,77028,92553,346345,357657,200,0,0
185462,58102,109481,163292,100431,62293,608698,553477,200,0,0
155158,95209,150633,188631,57590,126641,175807,782658,200,0,0
37677,209978,144129,104863,99062,48743,416251,508873,200,0,0
235651,99579,211123,120630,156315,90661,437757,233514,200,0,0
210868,184654,737129,91160,90328,99427,278944,712060,200,0,0
416816,77633,145720,213104,100561,106008,262482,662369,200,0,0
354784,45194,224869,149928,105323,111078,431424,435579,200,0,0
150250,161510,244273,198194,294404,53316,87820,256235,200,0,0
196233,150558,276758,114326,122174,89507,641577,533705,200,0,0
100452,57061,169003,97303,92912,107181,465159,377127,200,0,0
113961,53665,248292,108378,109117,155749,313892,200544,200,0,0
90640,217011,179634,93990,337613,77231,627106,406205,200,0,0
222904,271889,539434,98339,49416,82836,1450416,574622,200,0,0
453649,37277,159865,138574,167962,159125,924620,360015,200,0,0
378252,18371,173323,127115,63062,99158,661059,324068,200,0,0
728919,29771,291202,233751,226910,78122,960962,415998,200,0,0
291551,146738,635359,146579,64046,76481,811029,403281,200,0,0
91790,113726,255320,216570,103419,90222,814927,459715,200,0,0
228436,74511,82592,193298,129380,77429,574867,615840,200,0,0
266492,318489,161272,30168,68496,41700,833024,371383,200,0,0
94517,160950,129064,173039,178595,223415,507387,616032,200,0,0
380531,41395,244086,37144,32930,58878,412763,390262,200,0,0
116064,260428,133373,83079,51843,47657,1727542,928475,200,0,0
116064,260428,133373,83079,51843,47657,1727542,928475,200,0,0
121754,168507,289292,137287,224181,69188,153462,745269,200,0,0
163470,111526,204723,77782,112411,29012,646144,145766,200,0,0
116430,163766,208786,87530,58506,240013,238979,242979,200,0,0
298523,48688,352558,97655,71240,93224,299594,969522,200,0,0
445609,21455,124696,85590,126055,193720,862019,440378,200,0,0
54883,53106,264886,126656,69441,106301,426277,320166,200,0,0
62649,74274,264738,145136,179339,155119,291979,459422,200,0,0
159101,140197,214197,125412,62645,99412,213643,1012182,200,0,0
203664,171421,180875,87669,233664,84057,372393,166285,200,0,0
203664,171421,180875,87669,233664,84057,372393,166285,200,0,0
194255,102855,185530,172418,108514,51814,680890,182105,200,0,0
78888,104456,396426,115532,117273,76370,689698,419335,200,0,0
331661,119020,554973,126155,50149,111685,533879,484033,200,0,0
119214,53271,420653,134112,60704,95281,350943,419916,200,0,0
145202,122784,364268,165188,255861,50761,261663,922861,200,0,0
