delta,theta,alpha,beta,gama,Color
2.68605936274e-06,2.68605936274e-06,2.79898352821e-05,0.00665878103906,0.0218344379508,blue
3.34697459892e-05,3.31691388644e-05,0.000332709625328,0.0666471934754,0.144727483265,blue
0.000207956637066,0.00020364890636,0.00194614128852,0.310720835338,0.322032486388,blue
0.00086967162826,0.000838627319578,0.00754118185057,0.887942260793,-0.0225447101724,blue
0.00278583490612,0.0026345159541,0.0219706637387,1.6923878625,-1.4706054452,blue
0.00736060525057,0.00679511326852,0.0516757469897,2.07488840888,-2.66745763037,blue
0.0168217703507,0.0150830619436,0.102539122516,0.960434205029,-0.286841540188,blue
0.0343397982147,0.0297383711227,0.176369156428,-2.44527644514,6.05037847431,blue
0.0640403755185,0.0532301093328,0.266780707508,-7.71260092162,9.52499943607,blue
0.110886895122,0.0878389150276,0.355783883677,-12.688210338,2.01579555818,blue
0.180436058924,0.135111272366,0.412700159055,-13.9913716964,-13.3720541003,blue
0.27848899105,0.19525857192,0.396763293463,-8.56169243222,-20.6058971877,blue
0.410667181713,0.266587154822,0.263934149675,4.34159456797,-7.37469498683,blue
0.581948534069,0.345050274012,-0.0226074229567,21.7745157391,17.7429036086,blue
0.796204119646,0.424009299147,-0.479895929323,37.3818316276,30.5937040306,blue
1.05576998551,0.494268885061,-1.09308593266,43.5610514996,16.3535381251,blue
1.36107325637,0.544414053186,-1.80691526268,34.7562020845,-13.5839151705,blue
1.71032274076,0.561444401012,-2.52360384598,10.4435741887,-32.179915071,blue
2.09927577169,0.531679015155,-3.10908219548,-23.6355900991,-23.4666539249,blue
2.52109476924,0.44188603049,-3.40798577832,-56.7982928533,2.83570653057,blue
2.96629999112,0.280565204586,-3.26627223468,-77.052081436,22.6773139746,blue
3.42281473743,0.0392878304532,-2.55880349486,-75.7148356256,21.4748412233,blue
3.87609673116,-0.286011499864,-1.21792273964,-51.0935137213,5.74789695739,blue
4.30935536517,-0.693890935547,0.741788605209,-9.55363338925,-7.30427288511,blue
4.70386146315,-1.17649174859,3.20746400046,36.5844729821,-8.80008358878,blue
5.03935587794,-1.71893869994,5.96464509866,73.4602843971,-4.77116469764,blue
5.29455462435,-2.29911900453,8.70905155744,90.5297175763,-4.85977974342,blue
5.44773813108,-2.88789844278,11.0735757107,83.9127788937,-8.38330679883,blue
5.47740448106,-3.44981620629,12.668339759,57.0818149352,-5.4766252044,blue
5.36296311454,-3.94427490263,13.1295742658,18.9469109069,8.01771045912,blue
5.08545169464,-4.32720482583,12.1715747026,-19.5806735814,21.2723089655,blue
4.62827302534,-4.55313636705,9.63523282886,-49.0692876721,18.3678769732,blue
3.97795715917,-4.57757860562,5.52656067549,-63.9349056661,-2.77769246978,blue
3.12494441854,-4.35958981771,0.0391673969438,-63.2523409065,-24.9559210712,blue
2.06436203535,-3.86443284402,-6.44408177358,-50.18483624,-27.4324872757,blue
0.796743506453,-3.06622020736,-13.3728875062,-30.4786768707,-6.55572672117,blue
-0.671375515146,-1.95045982264,-20.0746424031,-10.4907382709,20.2695622305,blue
-2.32705253445,-0.516405931466,-25.8194345995,4.79732717019,30.5745249532,blue
-4.15077647089,1.22090147309,-29.8983117925,13.2834649014,16.4408494996,blue
-6.11657238123,3.22905387506,-31.7056722521,16.2486650489,-10.0187083946,blue
-8.19236971475,5.45731101677,-30.8154199446,17.4996846651,-28.1081477888,blue
-10.3406122588,7.83641861999,-27.0408594483,21.2700928005,-25.0615464337,blue
-12.5190726429,10.279350504,-20.4701157334,29.670989626,-4.15725259791,blue
-14.6818261326,12.6830808925,-11.471908149,40.9190662572,19.4103546418,blue
-16.7803412645,14.9314333592,-0.670359013854,49.4042400541,29.4712326469,blue
-18.7646494052,16.8989848736,11.1085179398,47.8956903786,19.2186479584,blue
-20.5845546758,18.455937975,22.9125580791,31.1329334639,-4.38997252111,blue
-22.19084375,19.4738112231,33.7527825089,-0.803745353785,-25.0114409425,blue
-23.5364579686,19.8317352039,42.6962789008,-41.1064118314,-28.3387128832,blue
-24.5776003366,19.423080151,48.9523959167,-77.8490403546,-12.6705550705,blue
-25.2747586624,18.1620945122,51.9431611906,-98.2056926605,10.2939528109,blue
-25.5936250694,15.990213165,51.3511637258,-93.5423199982,25.1533838367,blue
-25.5058920326,12.8816900531,47.1411430302,-63.1397515435,23.7969987193,blue
-24.98991583,8.8482133946,39.5546534061,-14.9037315521,8.7614565673,blue
-24.0312471592,3.942185746,29.0801783843,37.2758645974,-10.5604820755,blue
-22.6230258732,-1.74159462676,16.4036896943,78.4571274029,-23.2288130877,blue
-20.7662332685,-8.06604415775,2.34641837999,97.8569985665,-21.662655793,blue
-18.4697985928,-14.8538136414,-12.2027249095,92.2388978526,-6.50765198212,blue
-15.7505613882,-21.8912522312,-26.3530011777,66.2334500342,12.1244773288,blue
-12.6330947985,-28.9342622639,-39.2700800883,29.7343705883,21.2792474977,blue
-9.14939659952,-35.715900243,-50.2225510547,-6.26073952125,15.7135727772,blue
-5.33845531957,-41.9554908616,-58.6146561843,-33.4921281372,1.8378894376,blue
-1.24570206929,-47.3689432135,-64.0052571912,-48.4840715193,-9.42325479757,blue
3.07763726074,-51.6798931544,-66.1147901184,-52.3076948834,-12.6535405217,blue
7.57527638315,-54.6312397805,-64.8230810976,-48.6180112246,-9.93409081596,blue
12.1866823306,-55.99660171,-60.1613154761,-41.1759604549,-4.90359381635,blue
16.847964296,-55.5911999457,-52.3012693023,-32.1067351419,1.47736459807,blue
21.4928332191,-53.2816804168,-41.5442206772,-21.5994849439,8.48251915348,blue
26.0536275763,-48.9944176192,-28.3108773344,-8.91998481205,12.3409676742,blue
30.4623977682,-42.7218930228,-13.1324290884,6.05805585811,8.83956647229,blue
34.652032637,-34.5268186802,3.358293679,21.7782441947,-0.942130305189,blue
38.5574027003,-24.5437683329,20.4374798661,35.0387728433,-9.91322704623,blue
42.116492496,-12.9781740713,37.3053293355,42.1772429819,-11.2942738668,blue
45.271497912,-0.102643433799,53.1079963265,40.808123718,-5.08628899802,blue
47.9698668555,13.7493471812,66.968569045,31.1770287136,2.46663456782,blue
50.1652608331,28.1922233144,78.028004383,16.3490930562,5.52927953009,blue
51.8184157518,42.7992907452,85.495347456,1.05290517465,4.03952032997,blue
52.8978849273,57.1155799672,88.7047965311,-10.2789124575,2.27486702688,blue
53.3806534176,70.6721440742,87.1754472886,-15.3119957423,2.82119018355,blue
53.2526187516,83.0013398841,80.6681166018,-14.5915010573,3.25855207449,blue
52.508937183,93.6525790304,69.2327409142,-10.9743865578,-0.345627062565,blue
51.1542338572,102.208005731,53.2396458493,-8.06074885872,-7.27074176274,blue
49.2026717039,108.297544521,33.3886531643,-8.42226011648,-11.1154506252,blue
46.6778755487,111.612773629,10.6916369492,-12.4340714725,-6.11042573696,blue
43.6127153437,111.919118122,-13.573381675,-18.1633358572,5.66769935763,blue
40.0489536338,109.065907714,-37.9356143822,-22.3025212553,14.4679842213,blue
36.0367538536,102.993902134,-60.8284014953,-21.7244847953,11.6030989311,blue
31.6340382557,93.7399613327,-80.7028177875,-14.9699232565,-1.28793099764,blue
26.9056841456,81.4386335535,-96.1487341721,-2.9852098372,-12.5653576217,blue
21.9225560575,66.3205492792,-106.012381753,11.2370068702,-11.7368136855,blue
16.7603881081,48.707636968,-109.498841807,23.9302667246,-0.495190407999,blue
11.4985463515,29.0053025758,-106.248623714,32.0829339873,8.77341935412,blue
6.21870723522,7.6918252665,-96.3796667455,34.4322667204,6.42768791551,blue
1.00348703763,-14.6946859883,-80.4894415439,31.465953067,-3.53915076573,blue
-4.06494450178,-37.571351796,-59.6158442231,24.5894372471,-7.92118405448,blue
-8.90623363223,-60.3271106472,-35.1597748348,15.1065628548,0.109658515454,blue
-13.4431653121,-82.3403050142,-8.77622609259,3.70087178849,11.907847159,blue
-17.6029151376,-102.996711231,17.756075528,-9.2938879257,12.251963666,blue
-21.3182122474,-121.707454613,42.6743326976,-23.0965672521,-2.70468241339,blue
-24.5283995203,-137.926263141,64.3677456834,-35.7807423227,-19.0491557934,blue
-27.1803796616,-151.165539286,81.4977346224,-44.2712082335,-18.9685272821,blue
-29.2294352687,-161.010768551,93.0919897091,-45.233884035,-0.37128144827,blue
-30.6399091877,-167.132835221,98.6049377683,-36.5326248851,19.7228635892,blue
-31.3857309054,-169.29788153,97.9407220242,-18.5628895759,22.3512938846,blue
-31.450777127,-167.374425762,91.4384748598,5.24166042869,5.79660143663,blue
-30.829060477,-161.337545252,79.8231349449,29.0955560549,-13.6279043623,blue
-29.5247484305,-151.270027617,64.1280048338,46.5837223572,-18.9161523456,blue
-27.5520208755,-137.360489982,45.597457596,52.8033907352,-8.40236551692,blue
-24.9347740265,-119.898553,25.5795560918,46.1134382231,5.50298956599,blue
-21.7061735946,-99.267234749,5.41870349496,28.7958067806,10.7183952543,blue
-17.9080606825,-75.9328068644,-13.6423040913,6.30708923026,6.13681874286,blue
-13.5902219733,-50.432431783,-30.5431673861,-14.6630169957,-0.850323578641,blue
-8.80954362652,-23.3599652062,-44.4645820591,-28.5798383724,-3.65838897276,blue
-3.62907022433,4.64964593826,-54.8615758677,-32.9038512008,-1.66812551033,blue
1.88301301541,32.9369127865,-61.471460088,-28.6136678985,1.58701957802,blue
7.65446056142,60.8348318798,-64.2985032249,-19.2671624372,2.44806779381,blue
13.6100931871,87.6859169351,-63.5794235279,-9.15986397554,-0.454204965349,blue
19.6729404104,112.858758205,-59.7353145096,-1.53514304121,-5.28537548618,blue
25.7653485757,135.763638115,-53.3164212946,2.35320816166,-7.38269054661,blue
31.8100016611,155.866769476,-44.9459710524,3.13177267982,-2.3782681588,blue
37.7308276648,172.702802139,-35.2680704796,2.55519533971,8.455058155,blue
43.4537980213,185.885340558,-24.9030896866,2.64651451188,15.9478278775,blue
48.9076471328,195.115298366,-14.4125398188,4.97476022776,9.61496869249,blue
54.0245422788,200.186981111,-4.27438581172,10.0477799762,-9.86412123931,blue
58.7407279619,200.991840298,5.13105026192,16.8401190341,-25.8859525891,blue
62.9971571496,197.519884392,13.5250416092,22.7037011791,-19.3594970227,blue
66.7401103715,189.858771795,20.725258162,24.0067379676,9.37058632283,blue
69.9217960871,178.190651543,26.6329783439,17.5917500678,35.0372737799,blue
72.5009198977,162.786857615,31.2148128858,2.60432162742,30.0180133418,blue
74.4432023667,144.000598788,34.481460058,-18.2206214504,-5.53948304152,blue
75.7218175012,122.257820083,36.4662690537,-38.7136198764,-39.7078374288,blue
76.3177241305,98.0464519243,37.2064986955,-51.1523162014,-38.9248591803,blue
76.2198751813,71.9043127436,36.730069319,-49.2545964979,-2.31195707418,blue
75.4253093981,44.4059816923,35.0501435648,-31.0182955558,36.3489571504,blue
73.9391443483,16.1489950708,32.1688716988,-0.12538196822,41.6995507898,blue
71.7744910308,-12.2602665539,28.0901337014,34.7752338341,10.7979989277,blue
