lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
32274,8389,23048,8639,2763,5090,572612,113814,67,51
32274,8389,23048,8639,2763,5090,572612,113814,67,51
29764,35384,38141,18431,10630,7012,1202033,116367,38,26
7799,6501,9057,4021,3462,562,69030,70499,35,27
14517,2684,8639,11468,21667,15958,304205,68476,44,51
14517,2684,8639,11468,21667,15958,304205,68476,44,51
14517,2684,8639,11468,21667,15958,304205,68476,44,51
23763,3719,4860,8412,9246,7494,863856,25041,47,54
23763,3719,4860,8412,9246,7494,863856,25041,47,54
23763,3719,4860,8412,9246,7494,863856,25041,47,54
36925,21788,51644,30969,13286,4438,927196,221003,61,47
82850,19986,81691,39660,17285,3965,1062734,351029,44,50
60991,87365,71447,86245,45805,33494,1914263,1008682,43,53
60991,87365,71447,86245,45805,33494,1914263,1008682,43,53
61724,37954,14746,8531,13765,5757,1341696,56537,51,44
20892,52419,12286,6710,4656,1117,1205448,47680,87,43
20892,52419,12286,6710,4656,1117,1205448,47680,87,43
20892,52419,12286,6710,4656,1117,1205448,47680,87,43
96105,30424,24085,19376,8139,6005,807630,149526,63,53
96105,30424,24085,19376,8139,6005,807630,149526,63,53
21557,7990,3550,11867,4130,1092,1191709,86955,48,51
21557,7990,3550,11867,4130,1092,1191709,86955,48,51
55461,17427,28169,25922,4807,1657,232535,85380,48,61
55461,17427,28169,25922,4807,1657,232535,85380,48,61
17925,72284,121981,100525,9608,7994,2994835,711431,51,64
1752,19471,3491,3284,4161,645,682705,33777,35,38
52851,16943,46988,14742,19689,7970,643877,85285,57,44
71509,18968,41163,35366,12257,9689,532789,570952,48,54
71509,18968,41163,35366,12257,9689,532789,570952,48,54
63536,65084,68951,36179,9421,6168,685134,120721,29,37
13354,16226,5695,12511,11987,5253,1680803,262819,30,50
25188,16518,17883,38548,14311,13075,706339,432587,23,53
25188,16518,17883,38548,14311,13075,706339,432587,23,53
25188,16518,17883,38548,14311,13075,706339,432587,23,53
32912,5997,32265,14671,26459,2438,1230847,243773,51,41
29542,7757,13383,30824,6789,5592,587961,342972,27,44
13711,4605,3654,3351,7139,2303,565987,18553,38,53
11401,11194,5721,4330,2683,1235,1027274,30291,47,53
2957,7092,27486,9241,12130,1829,233343,216181,51,48
49841,28066,28868,10038,8095,4190,949977,202707,43,30
45904,73719,40661,25258,12174,24421,700082,1155541,30,23
93567,7223,16760,11488,9214,2479,1407251,81235,40,27
46216,70281,52366,64935,9205,29122,2387554,161359,48,38
23771,58739,26058,26908,16603,11414,532982,171057,56,67
23771,58739,26058,26908,16603,11414,532982,171057,56,67
43028,63667,19781,14834,19900,4302,865851,125838,78,60
10902,22877,17885,25504,21586,9922,1098612,129480,57,40
8320,4941,14470,11820,4703,407,881463,77317,29,61
8320,4941,14470,11820,4703,407,881463,77317,29,61
8320,4941,14470,11820,4703,407,881463,77317,29,61
167796,84063,38253,21803,11556,7169,1293960,184966,60,60
109056,10358,33177,58171,5539,5336,1537741,378306,53,63
15065,76051,55434,11083,7897,2640,1016271,284245,44,54
14387,1643,3598,2863,7860,677,85668,22384,57,40
14387,1643,3598,2863,7860,677,85668,22384,57,40
4915,9161,3990,6679,5311,2897,46486,32005,48,50
4915,9161,3990,6679,5311,2897,46486,32005,48,50
6409,49068,46620,11016,4770,2758,232646,49868,50,80
6409,49068,46620,11016,4770,2758,232646,49868,50,80
6409,49068,46620,11016,4770,2758,232646,49868,50,80
10155,12882,11988,12438,6776,3232,2033991,144573,43,48
27420,11310,13372,7604,6782,3015,830420,68691,44,57
2811,7735,5628,3877,2917,911,1124155,50325,51,50
5278,20642,12824,5763,2482,1445,615075,72619,41,41
5278,20642,12824,5763,2482,1445,615075,72619,41,41
27233,32144,35088,6070,11638,4383,784503,151163,50,44
7554,763,527,3613,981,997,105259,14894,50,48
7554,763,527,3613,981,997,105259,14894,50,48
7554,763,527,3613,981,997,105259,14894,50,48
22186,24343,4115,7601,3171,1995,469280,326353,44,44
35889,15169,3115,7356,3465,1656,830838,51237,54,41
6074,11437,19935,9717,2493,3093,768674,64238,50,56
66653,25968,39064,31954,12777,7667,475548,326061,44,75
7754,5567,3397,2329,752,383,610395,54171,44,75
137890,113683,51145,64032,54417,16897,1241069,246910,50,70
137890,113683,51145,64032,54417,16897,1241069,246910,50,70
5754,54757,14335,17467,16439,4853,358335,167348,67,61
39687,2113,20392,4433,1839,2512,111439,112233,67,57
50759,23599,23240,30339,6765,6122,292489,159535,60,51
269605,113164,11072,132766,45656,15651,1438432,612927,63,41
21388,17246,36788,6801,3185,4724,988140,118063,48,38
16410,4039,10969,6077,2531,3144,306803,45479,43,34
2242,4944,12583,14235,12814,2029,313037,257937,23,54
6410,35244,39139,13100,23057,3417,258101,70100,23,41
47298,13838,21184,18912,8035,3511,79686,146052,51,66
