lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
58353,78469,37062,23656,14737,8741,2281663,82248,81,21
2597,8900,7454,4951,3030,2668,815873,29861,74,29
2102,5386,4477,5952,2301,947,957800,8782,61,54
49029,21526,7579,4431,6706,1500,1144293,113635,67,38
49029,21526,7579,4431,6706,1500,1144293,113635,67,38
11497,21873,17426,3207,1383,1876,141315,46299,66,26
11497,21873,17426,3207,1383,1876,141315,46299,66,26
43196,20327,6294,14771,2475,1659,447738,55586,69,48
19057,26881,23600,13799,7226,2797,258100,161904,66,44
19057,26881,23600,13799,7226,2797,258100,161904,66,44
