delta,theta,alpha,beta,gama,Color
1246.31790759,285.367825677,-479.85432529,29.8829925668,34.8861948734,blue
1228.20984457,160.067655154,-483.727154058,-7.92558590697,-12.3027178166,blue
1203.76795468,26.0993763018,-459.722584284,-47.4823241747,-58.9466528226,blue
1173.22560512,-113.238212431,-408.680165849,-69.6721005855,-65.1594785418,blue
1136.86992904,-254.410340418,-333.280826639,-59.5380121766,-20.31265324,blue
1095.04043658,-393.74683695,-237.910466145,-14.4600714715,45.2260132568,blue
1048.12739966,-527.548583548,-128.381954547,52.4373996899,81.8415612555,blue
996.570042747,-652.196440884,-11.5340032454,115.990638409,59.0057072578,blue
940.854558123,-764.259144173,105.2619617,148.741292945,-9.30137397817,blue
881.511950322,-860.596682113,214.645873396,132.614036987,-72.775177186,blue
819.115707399,-938.455808315,309.817107486,67.3128373142,-82.7991225566,blue
754.279296183,-995.554576486,385.038486729,-28.4312946846,-31.7453172513,blue
687.653484162,-1030.15313345,436.05186963,-123.479549396,39.8280629421,blue
619.923499305,-1041.10843906,460.369221499,-186.033571689,76.650204174,blue
551.806042703,-1027.91110262,457.414823361,-195.609239914,54.67232357,blue
484.046168241,-990.703113095,428.508348171,-150.353296583,-1.65559612818,blue
417.414045629,-930.275866716,376.69354943,-66.9149182883,-45.0772324053,blue
352.701623492,-848.04854414,306.431659979,26.7050925606,-47.7120641974,blue
290.719205155,-746.02753896,223.19079581,102.026679843,-19.7426429508,blue
232.29195413,-626.748254962,132.971642432,140.123394908,8.89302720815,blue
178.256364058,-493.201144768,41.8146220562,137.006747132,19.671780767,blue
129.45673662,-348.74436202,-44.6661252996,102.738249233,16.529973706,blue
86.7416987128,-197.005838599,-121.681272546,55.2843829434,11.300575163,blue
50.9607759154,-41.7779427136,-185.565210029,12.2227125179,7.25956399829,blue
22.9610339346,113.091900642,-233.954424085,-15.9420452929,0.384402532491,blue
3.5837945079,263.811136751,-265.83724246,-28.1993435422,-9.29267012052,blue
-6.33857067738,406.7490794,-281.479790262,-30.7622178824,-15.0924848422,blue
-5.98575428458,538.53764922,-282.244676277,-31.8582680687,-12.3103874143,blue
5.44749487129,656.162784209,-270.328319547,-36.5099353615,-4.13130770728,blue
28.7485424429,757.04380902,-248.449273256,-43.9471469163,3.15329546828,blue
64.684243039,839.098481392,-219.522857552,-48.7281026116,7.64784601718,blue
113.99856119,900.79193433,-186.356598408,-44.6152454536,11.4482681791,blue
177.410478253,941.168279338,-151.396641223,-28.864529393,13.9778792216,blue
255.61221129,959.864203989,-116.548087652,-4.52617086647,9.87089757497,blue
349.267758007,957.104479489,-83.0827865848,20.4887212075,-3.83397784817,blue
459.011790298,933.679890335,-51.6373763725,37.1231682204,-19.9011831543,blue
585.448943099,890.908683035,-22.2936770355,39.7583324738,-24.5722717239,blue
729.153558916,830.583156435,5.2755736322,29.1989638173,-11.5975239071,blue
890.669939097,754.903452063,31.6190784658,12.3324667858,9.34559525076,blue
1070.51313204,666.40094784,57.3042361642,-1.48171400628,21.6519272766,blue
1269.17026757,567.853915761,82.7263561718,-5.38141432094,18.742435307,blue
1487.10242934,462.198272032,107.954226137,1.39183662061,8.42426760399,blue
1724.74704346,352.436324719,132.631236419,13.2396515917,0.0924420056714,blue
2.61629158708e-06,2.61629158708e-06,2.72628265735e-05,0.0064858256874,0.0212673096924,red
3.36938834603e-05,3.34010843128e-05,0.000335462340815,0.0676268544704,0.14985701989,red
0.000216914729212,0.000212596511937,0.00203868722041,0.331601987636,0.378553972334,red
0.000940710290849,0.000908636505396,0.00822664704687,1.00914491296,0.147242391956,red
0.00312265289324,0.00296146890179,0.0249852426009,2.09170259601,-1.3589226395,red
0.00853491105536,0.00791424858924,0.0612846380516,2.94743987898,-3.18818565803,red
0.0201394621262,0.0181754602526,0.12693579305,2.27296174517,-1.63607832633,red
0.0423908626469,0.0370488056068,0.228603073783,-1.20375396914,5.36063521446,red
0.0814746203801,0.0685905203409,0.364679995068,-7.49945482094,11.8167532736,red
0.145452731635,0.117273048177,0.520386855481,-14.4909165284,6.61175556361,red
0.24429330807,0.187457133806,0.664702166596,-18.2444948378,-11.8604106348,red
0.389773933945,0.282705029827,0.750676094185,-14.7436116499,-26.6369649315,red
0.595261182236,0.404995719486,0.720185151859,-2.27554854259,-16.6272477525,red
0.875374132961,0.553919030199,0.513272238111,16.8141822183,16.2754684148,red
1.24554037923,0.72593073347,0.0811001299693,36.1428646251,41.4151174015,red
1.72145454604,0.913750695217,-0.599468080645,47.4254597527,29.2696624911,red
2.31845473925,1.10598391327,-1.51232003174,43.9829310038,-13.4610208241,red
3.05083759681,1.28703588911,-2.59246935847,24.0665334005,-46.4756475293,red
3.93113127682,1.43737318883,-3.72303868245,-7.65881044191,-37.4185857832,red
4.96934460621,1.53415556189,-4.74078302378,-41.3548832152,3.77787624848,red
6.17221837788,1.55224791724,-5.4507904884,-65.5681140043,36.8639667455,red
7.54251176711,1.46559991224,-5.64948087375,-71.6152789567,34.3513249164,red
9.0783540848,1.24894991823,-5.15361955451,-56.9563976689,6.19503466041,red
