lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
9826,27267,7309,11136,10528,1924,55712,127592,61,40
8941,13549,5831,4418,10008,3139,5597,21589,41,53
17056,7670,4987,11155,4764,1585,31226,7429,78,74
3700,11416,9801,3711,5778,10902,550420,68231,77,66
10018,19445,12066,8798,8565,5075,9255,8959,60,70
20425,24287,15583,10371,3502,5515,146903,18190,78,90
20425,24287,15583,10371,3502,5515,146903,18190,78,90
7511,7896,8751,8463,4209,4218,28629,12572,67,77
4847,14652,6408,12621,5456,6656,234435,2520,64,97
9378,29771,11115,26878,16779,5445,62697,26120,80,94
14981,26270,7819,6682,5684,1912,158816,64475,69,66
21946,20555,54779,50181,15705,6266,260428,59212,50,57
24365,32886,23364,13182,8031,5283,355860,52187,53,64
527,9575,16584,7918,7509,2527,21346,23179,51,90
17486,17819,27986,15890,35903,9366,262474,83294,27,77
2903,103495,13024,18742,9580,5472,83887,48082,56,54
2903,103495,13024,18742,9580,5472,83887,48082,56,54
2979,4770,13362,8697,6307,1115,279058,40746,44,66
74163,12522,20114,21303,14932,7804,81949,65177,74,70
8819,12911,12869,14893,4841,2556,3366541,135328,74,57
20306,49291,25422,30829,15642,4370,1463438,364548,44,50
20306,49291,25422,30829,15642,4370,1463438,364548,44,50
12229,15199,14557,19835,6043,3021,37646,45300,57,64
12932,30328,15198,13111,7775,3239,45500,21383,54,54
14172,959,42214,28393,5285,2796,1650140,191548,40,43
10790,11579,31674,35489,22208,5314,150031,89131,38,66
25578,13746,6101,8248,2383,1898,69558,18955,63,81
3160,49026,23696,14720,12481,18111,123497,53000,56,75
6230,6391,43742,24782,7212,7870,459638,70574,56,80
13635,12467,19397,20812,9015,6584,32694,9095,41,93
4354,3742,2079,2606,2408,1271,58103,7185,66,80
5369,62613,56165,23102,21750,6778,22848,24951,64,83
3294,2993,13334,29235,7516,3336,11670,18115,47,100
18899,18096,38007,24326,12194,3687,82773,22142,53,100
19055,11793,11563,15831,19688,7049,8317,34862,81,69
5340,6806,9347,12825,18976,10631,46488,47069,66,56
19785,38765,18746,37118,7670,10713,430892,273426,43,51
16939,8627,40789,17580,6637,4692,132343,91235,29,50
71609,97748,69007,21466,26166,6064,185981,198395,40,48
23992,7256,11521,6259,4296,1529,288383,122354,44,35
47278,61118,49229,41299,72014,19086,1757311,191773,50,23
22710,16577,21330,27458,33617,32103,818066,229588,56,29
