delta,theta,alpha,beta,gama,Color
2.67443140013e-07,2.67443140013e-07,2.7868667164e-06,0.000662995514712,0.00217399165744,blue
4.07300050085e-06,4.04306992132e-06,4.08434007272e-05,0.00847161535204,0.020429593435,blue
2.89162034185e-05,2.84044213182e-05,0.00027490185461,0.0467911266161,0.0636993529773,blue
0.000132521341465,0.000128356536294,0.00117466171526,0.151988611755,0.0420608084177,blue
0.000453222625453,0.000431086277084,0.00367658248247,0.324674231029,-0.214335166974,blue
0.00125848121752,0.00117028882353,0.00915368468863,0.461549442929,-0.555784407874,blue
0.00299633886035,0.00271142738766,0.0191101487837,0.357742205015,-0.277655314173,blue
0.00634827748704,0.00556321639088,0.0346441345839,-0.164614814864,0.992117803975,blue
0.0122821892647,0.0103719861382,0.0557992544274,-1.06928938941,2.03539140929,blue
0.0221006599732,0.0178934718098,0.0809357920707,-2.01471999021,0.804715222281,blue
0.0374786496313,0.0289373843022,0.106272333275,-2.46076453275,-2.57600873447,blue
0.0604883068464,0.0442862244177,0.12579109766,-1.93282320541,-4.50346195557,blue
0.0936123625771,0.0645958796289,0.131687066961,-0.300095141375,-1.5422780423,blue
0.139748107217,0.0902878168487,0.115433407363,2.0783671104,4.44246998376,blue
0.20220120085,0.121440849741,0.0693611583837,4.41502384368,6.92292866414,blue
0.28466671152,0.157689008346,-0.01149771453,5.75424724455,2.08415839416,blue
0.391195560603,0.198132903245,-0.12762948016,5.34950793179,-5.64237889508,blue
0.526144039289,0.241271115567,-0.27368057202,3.00981095317,-7.80455098977,blue
0.694104489868,0.284957873507,-0.437842852281,-0.73838049366,-1.79639103244,blue
0.899818624189,0.326395579615,-0.602174730035,-4.75974817875,5.73801622638,blue
1.14807726421,0.362171287963,-0.743908607756,-7.67711713468,6.55216745037,blue
1.44360998322,0.38834330121,-0.837675068036,-8.3829193182,0.335943148649,blue
1.79096763538,0.400580316363,-0.858455964863,-6.49920117705,-5.30617830165,blue
2.19440377573,0.394354955835,-0.784935051377,-2.57276340843,-4.04793404348,blue
2.65776392358,0.365192402801,-0.602816631027,2.10549573516,1.97661834816,blue
3.18438997898,0.308968634738,-0.307694780082,5.98348253689,5.17822859887,blue
3.77704414373,0.222245213994,0.0928762629583,7.82178518719,1.68267119466,blue
4.43785084352,0.102617816129,0.578338935405,7.11579949719,-4.26114051218,blue
5.16824936359,-0.0509524656926,1.11523270144,4.21511686363,-5.48360087503,blue
5.96895502107,-0.237850921861,1.65857748008,0.161639261132,-0.208988411864,blue
6.83993513801,-0.4555799178,2.15469713563,-3.64328736892,5.9354866152,blue
7.7804045759,-0.699603487977,2.54546783994,-5.86695038761,5.99592861134,blue
8.7888367489,-0.96328670907,2.77368895548,-5.70655537517,-0.756431229443,blue
9.86297873007,-1.23795348244,2.78904269532,-3.24638404861,-7.52417633311,blue
10.9998604278,-1.51307833238,2.55404806284,0.496645953049,-6.59702562004,blue
12.1957927709,-1.7766147021,2.04944681394,3.95450379834,2.16123645119,blue
13.4463511858,-2.01545229973,1.27847941939,5.68863098716,9.8798223229,blue
14.7463476178,-2.21598072917,0.269620518569,5.05870650116,7.41665248388,blue
16.0898077477,-2.36471638377,-0.922477770429,2.54941470226,-3.97110822467,blue
17.4699720091,-2.44894408448,-2.21807266287,-0.466549955206,-12.6740352231,blue
18.8793242513,-2.45733972108,-3.51583152558,-2.49738666312,-8.99158203911,blue
20.3096363836,-2.38055739193,-4.69913534438,-2.84404549724,4.05219878459,blue
21.7520139845,-2.21176942116,-5.64524538583,-2.06190360317,13.9777451356,blue
23.1969337684,-1.94714268764,-6.23683784267,-1.584681772,11.9060786704,blue
24.6342737189,-1.5862259275,-6.37481836391,-2.66252887051,0.339342844469,blue
26.0533454209,-1.13221643427,-5.99089005144,-5.27836670453,-11.1782318992,blue
27.442937585,-0.592079842312,-5.05824038102,-7.82540814117,-15.0542341608,blue
28.7913726434,0.0234895930138,-3.59890140213,-7.90037394282,-9.58571116344,blue
30.0865752853,0.700270465726,-1.68665626672,-3.82289629091,2.50228949756,blue
31.3161566629,1.4208772009,0.555257153219,4.05007798366,15.3566832818,blue
32.4675243643,2.16528309299,2.9618993131,13.0806799789,20.4019672495,blue
33.5280278739,2.91149340804,5.33943253423,19.4066358075,10.7342394224,blue
34.4851422427,3.63634333405,7.48185056686,19.7607221471,-10.4930733131,blue
35.3266829689,4.31637878806,9.18990270649,13.0961884392,-27.5396026914,blue
36.0410384445,4.92876701714,10.2901506106,1.20160445655,-23.5814634584,blue
36.6174082538,5.45218492137,10.6521356543,-11.9493318136,1.68534332503,blue
37.0460410807,5.86764071863,10.2019401827,-21.7606244835,27.6941093695,blue
37.3184688591,6.15919194526,8.93085600341,-24.7868688937,30.503743821,blue
37.4277326202,6.31452772303,6.8983533491,-20.0064322548,6.62869228699,blue
37.36859169,6.32538692921,4.22904859486,-9.1444873228,-22.0772527829,blue
37.1377089187,6.18779381362,1.10394356891,4.03428853308,-29.3071886606,blue
36.7338099687,5.90210760093,-2.25322108547,15.1659051327,-10.118462468,blue
36.1578159704,5.47289317696,-5.59325310716,20.8752524725,15.0749377485,blue
35.412944839,4.90862429321,-8.66098444627,19.8771758984,22.1786586964,blue
34.5047713486,4.22123303401,-11.21540748,13.1964255046,7.5391109365,blue
33.4412348338,3.42552499038,-13.0489198769,3.52717996024,-10.5974505106,blue
32.2325858371,2.53848818232,-14.0041641709,-5.89229722536,-13.3596241976,blue
30.8912673423,1.57853288555,-13.9870825258,-12.3876362272,-1.04467333348,blue
29.4317361743,0.564712188217,-12.9750087926,-14.5403162031,9.75790172896,blue
27.8702406184,-0.484016939503,-11.0189649825,-12.3293791831,6.5189547173,blue
26.224571844,-1.54943550749,-8.23990280361,-6.86574458588,-5.62674976527,blue
24.5138020778,-2.61456406764,-4.81930771841,0.03649238403,-11.4561727677,blue
22.7580187496,-3.66399584101,-0.98517147344,6.30538331868,-3.72445475385,blue
20.9780610177,-4.68404893017,3.00523856243,10.0615010897,9.29135333691,blue
19.1952594763,-5.66274392536,6.88413374606,10.0843136137,13.7098316464,blue
17.4311741707,-6.58963097199,10.3917801267,6.22686313443,4.92016313411,blue
15.7073245065,-7.45550163851,13.2934283278,-0.376080570288,-8.45167983123,blue
14.0449082255,-8.25202408142,15.3935586947,-7.47428552864,-14.0445032637,blue
12.4645161134,-8.97133444779,16.5469263694,-12.3078008216,-7.66189109703,blue
10.985854705,-9.60561394312,16.6662848494,-12.5543953099,3.93945842555,blue
9.62748344296,-10.1466875874,15.7268042735,-7.34618488129,10.5299325712,blue
8.40656693718,-10.585685277,13.7672506152,2.08024672922,7.98821859381,blue
7.33864510771,-10.9127998265,10.8880763015,12.5339124657,0.947441744579,blue
6.43742729989,-11.1171674797,7.24661625719,19.9443665029,-3.39709663733,blue
5.71461343812,-11.1868921409,3.04952472654,20.991504991,-3.20441491396,blue
5.17974081168,-11.1092304768,-1.45745724736,14.5746627632,-2.54993317734,blue
4.84005813735,-10.8709420361,-6.00220457974,2.44167974175,-4.29944875807,blue
4.70043150346,-10.4587951822,-10.3010199858,-11.3507935762,-5.16338284281,blue
4.76327948553,-9.86021698251,-14.0751016106,-21.986992828,-0.364424363332,blue
5.02852524955,-9.06407484396,-17.0680703739,-25.8194959315,8.16891184631,blue
5.49355584541,-8.06156508819,-19.0636210816,-21.7970227101,12.065078114,blue
6.15319212523,-6.84716078395,-19.9019390207,-11.7184062594,6.02479946825,blue
6.99967921761,-5.41955767834,-19.4933434093,0.736564349706,-5.56014429433,blue
8.02270287555,-3.78255848085,-17.8277656168,11.6129589127,-13.1342428547,blue
9.20943616302,-1.94583678365,-14.978938881,18.1246326724,-11.2788574081,blue
10.5446235844,0.0744773013257,-11.1025508172,19.3640347052,-2.16817936977,blue
12.0107054541,2.2554365922,-6.42817571797,16.1312333983,7.94460911311,blue
13.5879770144,4.5671705579,-1.24543925546,10.155314719,13.1641441196,blue
15.2547718754,6.97304709431,4.11459938893,3.21858659077,10.3052154499,blue
16.9876602209,9.43010638059,9.30150704136,-3.36257653711,0.523774716178,blue
18.7616543127,11.8897624152,13.9694098012,-8.75737312541,-10.1394805505,blue
20.5504131651,14.2987568822,17.8010881489,-12.3502686078,-14.0266690392,blue
22.3264389505,16.6003410533,20.5305141219,-13.5350046132,-8.01312771422,blue
24.0612601058,18.7356550992,21.9622324745,-11.8078839689,3.31571356822,blue
25.7255973334,20.6452675637,21.9861877296,-7.13334478765,11.3916834082,blue
27.2895093884,22.2708316549,20.586875775,-0.32045444738,10.9406533288,blue
28.7225161428,23.5568100334,17.8460478997,6.911513685,3.71081817938,blue
29.9936975644,24.4522167288,13.9386116774,12.349835437,-4.27702110716,blue
31.0717690758,24.9123239193,9.12183795305,14.0832373417,-8.18326599825,blue
31.9251366041,24.9002828374,3.7184714085,11.3299296374,-7.11460182902,blue
32.5219376377,24.3886110145,-1.90519162107,4.88485189107,-2.96136098081,blue
32.8300744645,23.3604989228,-7.36482071231,-3.08376210879,1.86287222168,blue
32.8172446276,21.8108901487,-12.2854377426,-9.84916954006,5.40664614283,blue
32.4509744093,19.7472936689,-16.3287278425,-13.1969988112,6.28155424944,blue
31.6986598464,17.1902905923,-19.2182585555,-12.2702108097,4.0233460821,blue
30.5276131911,14.1736977918,-20.760708978,-7.82954632949,-0.399060100097,blue
28.9051066236,10.7443536314,-20.8614373735,-1.83836482348,-4.68402662563,blue
26.7984068441,6.9615043444,-19.5329685218,3.44163394846,-6.22506013893,blue
24.1747976975,2.89578665267,-16.8953658732,6.4362661579,-3.87222689732,blue
