delta,theta,alpha,beta,gama,Color
-3.1395499045e-07,-3.1395499045e-07,-3.27153918882e-06,-0.000778299082488,-0.00255207716308,blue
-3.97396335809e-06,-3.93882746038e-06,-3.95333189139e-05,-0.00794342022046,-0.0174194949833,blue
-2.49676758979e-05,-2.4457245749e-05,-0.000233989369025,-0.0375804917235,-0.040078464585,blue
-0.000105027165517,-0.000101311674168,-0.000912198525572,-0.108107977236,0.00148895674494,blue
-0.000336487845637,-0.000318267235143,-0.00265553473835,-0.204197377563,0.188829264868,blue
-0.000884147986595,-0.000815918330036,-0.00619209162313,-0.23733939318,0.356089478723,blue
-0.00199921808271,-0.00178984075338,-0.0120756108734,-0.064075854091,0.0456239901942,blue
-0.00402210564555,-0.00347108411306,-0.0202262707,0.405909260857,-0.850986695688,blue
-0.00737451236006,-0.00609116141609,-0.0295024192931,1.06790294102,-1.40305344785,blue
-0.0125421167876,-0.00983596320358,-0.0374831842877,1.57209431634,-0.303695842796,blue
-0.0200477397638,-0.0147926928331,-0.0405814894248,1.45851086343,2.18837578924,blue
-0.0304157508253,-0.0208955040944,-0.0345432095914,0.43509373543,3.47700612291,blue
-0.044130655237,-0.0278779732957,-0.0153186205793,-1.36568332329,1.0741349605,blue
-0.0615913173619,-0.0352386253407,0.0198268064232,-3.32068200276,-3.75007455982,blue
-0.0830594087186,-0.0422219627939,0.071203317348,-4.51413925274,-6.04834698961,blue
-0.108602123496,-0.0478179183207,0.135837630968,-4.14623193087,-2.39714908468,blue
-0.138033782492,-0.0507860559975,0.207041696389,-1.97766172145,4.40986667648,blue
-0.170863480596,-0.0497115772205,0.274521579439,1.42844960045,7.58951523254,blue
-0.206254237408,-0.0430959158344,0.325105680276,4.8466628146,3.77339823363,blue
-0.242995273343,-0.0294779197265,0.344134976538,6.89964401079,-3.15823940243,blue
-0.279487127998,-0.00757702938856,0.317464069333,6.70117672287,-6.56730247299,blue
-0.313740484567,0.0235510240451,0.233875543227,4.28859135033,-4.28331059046,blue
-0.343390024675,0.0643564291076,0.087588426019,0.608805388787,0.147235172329,blue
-0.365723016365,0.114648224673,-0.119516708794,-2.92911235715,2.72909157428,blue
-0.377722434724,0.173470557551,-0.376360881819,-5.10024195339,3.17379050718,blue
-0.376125360296,0.239012979691,-0.662194478799,-5.38561466241,3.11190040599,blue
-0.357493707954,0.308567575077,-0.947417585087,-4.11240968976,2.41810463679,blue
-0.318288215383,0.378549229075,-1.19571117159,-2.16308326509,-0.39193746408,blue
-0.254935036811,0.444592841089,-1.36734211411,-0.453302962153,-4.63784855542,blue
-0.163878239833,0.501731871725,-1.42341854872,0.501043727111,-6.621212367,blue
-0.0416183963254,0.544649744167,-1.33080737607,0.699527881595,-3.40346265316,blue
0.115256496014,0.567984238707,-1.0673276102,0.459441454912,3.3380966823,blue
0.310042275012,0.566662046046,-0.626651834395,0.118760629294,8.26370425992,blue
0.545892965294,0.536244983894,-0.0221592251352,-0.120282736868,7.18021891201,blue
0.825800944638,0.473270143087,0.711029452868,-0.148202218181,0.573616724323,blue
1.15258012233,0.375560479373,1.51640271266,0.153259983885,-7.00255177526,blue
1.52884533328,0.242479620354,2.31908740269,0.911294135406,-10.1070434879,blue
1.95698452791,0.0751110903949,3.03159273233,2.14410822947,-5.78460409325,blue
2.43912734922,-0.123646575182,3.56203037783,3.63847542218,3.876814144,blue
2.97711699271,-0.349069644832,3.8242090847,4.93612293768,11.7038618731,blue
3.57248975648,-0.59468325991,3.74859071771,5.45172451989,10.2216009652,blue
4.2264631941,-0.852418884022,3.29277797528,4.67206282673,-0.783902314946,blue
4.93993209994,-1.11285227469,2.45008351244,2.36589887391,-11.878895691,blue
5.71347018616,-1.36551681784,1.25482113651,-1.26277026747,-12.0592417868,blue
6.54733341686,-1.59928529892,-0.216745707045,-5.53612527111,-0.586084813468,blue
7.44145964803,-1.80281082583,-1.85038068557,-9.4130847888,11.0412629803,blue
8.3954611093,-1.96501210188,-3.50272285313,-11.7372549073,10.9460447341,blue
9.40861067111,-2.07558069077,-5.01426844546,-11.5642101475,-0.0999712043365,blue
10.4798245132,-2.12548426035,-6.22517944341,-8.49045965876,-9.74944527409,blue
11.6076424553,-2.10744060999,-6.99223249567,-2.89220939757,-8.15513416121,blue
12.7902079835,-2.01633728012,-7.20501345386,4.03832265567,1.56434651945,blue
14.0252529097,-1.84957074194,-6.7994584835,10.5413869487,8.1596200867,blue
15.3100908128,-1.6072836012,-5.76711568353,14.7882292595,5.3869893979,blue
16.6416170367,-1.29248950256,-4.15902465689,15.4605481034,-2.25108117961,blue
18.0163070843,-0.911086485528,-2.08372985523,12.1987148347,-6.20191930115,blue
19.4302064906,-0.471762777736,0.300493397024,5.77390007155,-3.38877501674,blue
20.8789126144,0.0142044915334,2.79863215152,-2.06351469072,2.00712782301,blue
22.3575546537,0.533259084675,5.19609442438,-9.04323626687,4.30839816318,blue
23.8607795704,1.06998220442,7.27850543225,-13.062113675,1.95546678405,blue
25.3827521587,1.60760950949,8.85225853359,-12.913428035,-2.03408402484,blue
26.9171758901,2.12863534032,9.76374181531,-8.79163204447,-3.5596545847,blue
28.4573335051,2.61547807075,9.91512983403,-2.33543504516,-1.14823611128,blue
29.9961380059,3.05116840638,9.27486891167,3.8912283768,2.89832460052,blue
31.5261834741,3.42001991895,7.88156915833,7.37395288237,4.61662685505,blue
33.0397908553,3.70824811258,5.84085106887,6.73947582488,1.9985758587,blue
34.5290525021,3.90451602433,3.31559253877,2.47704536938,-3.08114313898,blue
35.9858855575,4.00039429056,0.510786870833,-3.13374331129,-6.43729469064,blue
37.4021028892,3.99072558246,-2.34529351204,-6.99666321929,-5.15168152963,blue
38.7695029501,3.87387912019,-5.02172550249,-6.71446653439,0.172803306509,blue
40.0799745379,3.6518792757,-7.30540946374,-1.90822644962,6.15916262851,blue
41.3256108753,3.33039546783,-9.01952408016,5.40316385402,9.00400668472,blue
42.4988247439,2.91858360512,-10.0383494772,11.6555333728,6.36028961204,blue
43.5924536557,2.42877332097,-10.2972258954,13.4598259744,-1.38685359204,blue
44.5998473451,1.87600621599,-9.79682062879,9.352635896,-10.1473313812,blue
45.5149378677,1.27744611502,-8.60131564059,0.687344270187,-13.3156029054,blue
