lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
132290,47251,73990,34955,27330,4941,2070512,509463,41,27
132290,47251,73990,34955,27330,4941,2070512,509463,41,27
20394,12156,22081,10727,4139,628,556994,10047,50,51
91622,46331,13283,26496,22609,3808,1766714,226211,47,41
8739,53951,32288,17479,9373,3177,979383,111707,56,41
16647,19864,22266,15351,7346,5697,840666,66106,60,50
172717,123364,67027,113522,103890,30986,1950215,750910,66,48
114092,82066,59676,43040,18745,5370,1016793,599432,61,30
114092,82066,59676,43040,18745,5370,1016793,599432,61,30
51641,14011,19121,18314,7258,3168,1047478,91742,54,43
1296,1899,2049,755,891,205,42052,2094,66,30
1296,1899,2049,755,891,205,42052,2094,66,30
31488,13639,52129,12358,19935,6361,1703748,93609,64,37
58930,11561,13337,9211,8765,3013,145766,282092,44,8
60261,46733,20088,14847,4431,1196,932097,159518,53,7
60261,46733,20088,14847,4431,1196,932097,159518,53,7
60261,46733,20088,14847,4431,1196,932097,159518,53,7
60261,46733,20088,14847,4431,1196,932097,159518,53,7
21995,12817,8565,10611,5588,3200,216909,97433,48,29
21995,12817,8565,10611,5588,3200,216909,97433,48,29
37054,18223,9411,14714,14334,1788,842114,221446,48,3
67213,23880,27814,8525,3893,1255,1293605,40503,43,8
67213,23880,27814,8525,3893,1255,1293605,40503,43,8
33650,62954,43141,23106,16215,20484,354575,105028,64,41
118747,234997,183471,71453,30288,27634,1918051,338009,57,50
118747,234997,183471,71453,30288,27634,1918051,338009,57,50
19511,51562,12929,9349,10030,1361,92724,38260,60,50
19511,51562,12929,9349,10030,1361,92724,38260,60,50
20450,14464,20836,34608,5378,3793,344219,222349,14,34
158533,202567,70536,63182,21056,6914,1471970,634103,37,35
43935,68594,61498,26616,17639,24864,720812,462768,50,30
43935,68594,61498,26616,17639,24864,720812,462768,50,30
43935,68594,61498,26616,17639,24864,720812,462768,50,30
27481,29533,44444,51870,27416,7970,546028,298954,51,51
27481,29533,44444,51870,27416,7970,546028,298954,51,51
101244,62779,34527,33510,25846,11020,1061643,220217,67,50
21486,89983,32564,25197,19404,2667,986381,127850,48,69
21486,89983,32564,25197,19404,2667,986381,127850,48,69
21486,89983,32564,25197,19404,2667,986381,127850,48,69
40183,121704,140370,114840,48620,10692,2994312,1626528,40,51
15774,13207,19237,12321,7089,785,656710,29937,38,53
68105,17349,49773,18771,41869,3477,1412059,188908,40,43
26387,29941,31721,8689,9059,9264,1053658,45268,66,47
320016,168140,223672,174347,49327,23463,1732828,1029074,66,53
26714,93213,21658,41512,23672,10366,1370992,139103,57,40
26714,93213,21658,41512,23672,10366,1370992,139103,57,40
132900,54043,78499,28361,26157,3993,749546,238206,60,48
121171,27370,40992,34662,10770,2576,699906,216315,53,40
13623,32945,8491,6406,2802,2651,367855,61189,50,34
13623,32945,8491,6406,2802,2651,367855,61189,50,34
35066,24239,92453,69021,63880,6256,1819592,231649,27,38
14894,22215,36146,21698,9675,6441,953822,219406,34,41
62546,19339,48960,10065,26756,9377,1726077,443577,29,1
23770,4213,30923,27965,6741,5459,2314267,161757,37,11
31209,34674,10041,9700,6790,2705,539041,89260,54,37
94042,224583,81257,50403,45384,55138,1463350,483120,61,20
53419,81813,169531,139871,36595,12463,1733065,308840,56,37
53419,81813,169531,139871,36595,12463,1733065,308840,56,37
121258,98815,53451,43346,38987,18313,1286905,318806,50,44
121258,98815,53451,43346,38987,18313,1286905,318806,50,44
121258,98815,53451,43346,38987,18313,1286905,318806,50,44
16339,5390,2265,2492,3466,2037,753944,56058,38,24
16339,5390,2265,2492,3466,2037,753944,56058,38,24
140770,39991,40024,23261,14778,9709,1278723,523796,47,37
7164,2426,7848,1903,741,439,150972,34326,41,21
19155,11521,8301,5975,4455,5393,323730,57574,54,27
