RawEeg
-950
2047
-1085
-586
244
-947
1890
-1043
-865
506
-941
380
-404
-945
608
-948
-633
1132
-966
592
-967
-855
2047
-994
466
-844
-882
2047
-1028
65
-428
-906
2047
-1047
-226
140
-931
2047
-1064
-632
449
-939
1398
-886
-916
554
-947
-132
141
-955
552
-950
-778
1665
-974
584
-945
-868
2047
-1004
370
-698
-893
2047
-1034
100
-195
-923
2047
-1075
-417
273
-949
2047
-1081
-786
482
-964
871
-596
-956
758
-993
-435
827
-1013
698
-1020
-893
2047
-1042
613
-925
-932
2047
-1069
204
-562
-948
2047
-1089
-90
-104
-963
2047
-1101
-517
467
-983
1943
-1013
-860
716
-1018
496
41
-1044
914
-1081
-1193
2047
-1364
486
-129
-1249
2047
-1420
228
354
-1307
2047
-1443
-581
740
-1345
1925
-955
-1129
786
-1361
128
402
-1332
954
-1365
-955
1834
-1380
882
-1134
-1258
2047
-1421
934
-625
-1313
2047
-1479
545
121
-1365
2047
-1532
-76
579
-1413
2047
-1390
-820
832
-1437
1346
-369
-1297
930
-1466
-393
993
-1444
1088
-1411
-1221
2047
-1489
1036
-951
-1374
2047
-1545
739
-353
-1416
2047
-1579
369
252
-1451
2047
-1581
-357
817
-1496
2047
-1066
-1016
1076
-1547
828
344
-1449
1237
-1574
-827
1724
-1597
1097
-1348
-1449
2047
-1609
931
-873
-1474
2047
-1633
617
25
-1506
2047
-1669
204
549
-1547
2047
-1529
-662
908
-1592
1897
-540
-1252
1189
-1643
90
791
-1586
1259
-1577
-1206
2047
-1666
1132
-1098
-1541
2047
-1705
-1141
1028
-1665
587
394
-1534
1117
-1624
-909
1865
-1667
1297
-1268
-1517
2047
-1720
1147
-627
-1602
2047
-1768
578
107
-1630
2047
-1780
118
556
-1656
2047
-1558
-760
1043
-1689
1752
-334
-1267
1329
-1734
72
1099
-1671
1456
-1559
-1271
2047
-1800
1171
-1030
-1670
2047
-1818
1031
-391
-1687
2047
-1843
545
326
-1709
2047
-1797
-122
852
-1739
2047
-1093
-952
1120
-1794
1221
248
-1530
1427
-1758
-618
1607
-1798
1382
-1419
-1548
2047
-1874
1309
-613
-1765
2047
-1925
982
116
-1805
2047
-1950
363
540
-1833
2047
-1718
-553
1057
-1850
2047
-668
-1291
1227
-1865
418
858
-1703
1436
-1625
-1077
2047
-1894
1420
-997
-1740
2047
-1971
1369
-237
-1867
2047
-2011
774
459
-1897
2047
-1958
61
645
-1902
2047
-1428
-861
1157
-1924
1541
13
-1507
1338
-1879
-260
1424
-1832
1594
-1458
-1484
2047
-1980
1298
-712
-1860
2047
-2028
1236
0
-1918
2047
-2048
582
583
-1948
2047
-1828
-162
1106
-1987
2047
-843
-1089
1264
-2003
889
602
-1729
1398
-1794
-921
1922
-1963
1473
-1227
-1741
2047
-2042
1381
-330
-1941
2047
-2048
1124
385
-1993
2047
-2048
420
828
-2036
2047
-1531
-606
1188
-2048
1830
-345
-1416
1360
-2014
123
1197
-1880
1453
-1672
-1409
2047
-2036
1495
-761
-1894
2047
-2048
1261
51
-2003
2047
-2048
873
760
-2048
2047
-1941
97
1002
-2048
2047
-994
-918
1314
-2048
1264
375
-1665
1468
-1916
-545
1803
-2017
1465
-1396
-1720
2047
-2048
1397
-343
-2009
